"","composition","richness","Chlamydomonas_reinhardtii","Cryptomonas_sp","Monoraphidium_obtusum","Cosmarium_botrytis","Staurastrum_gracile","Staurastrum_polytrichum","Desmodesmus_armatus","Tetrahymena_thermophila","Colpidium_striatum","Loxocephalus_sp","Dexiostoma_campylum","Paramecium_caudatum","Stylonychia_mytilus","Stylonychia_sp","Coleps_sp","Paramecium_bursaria","Euplotes_daidaleos","Didinium_nasutum"
"1","c_01",7,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
"2","c_02",7,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
"3","c_03",7,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
"4","c_04",7,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
"5","c_05",7,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1
"6","c_06",10,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1
"7","c_07",10,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
"8","c_08",10,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1
"9","c_09",10,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1
"10","c_10",10,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1
"11","c_11",14,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1
"12","c_12",14,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1
"13","c_13",14,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1
"14","c_14",14,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1
"15","c_15",14,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1
