"species","bottle","filtered","unfiltered"
"Chlamydomonas","b_01",16745.406824147,14476.4397905759
"Chlamydomonas","b_02",158437.5,153437.5
"Chlamydomonas","b_03",7827.22513089005,8120.1044386423
"Chlamydomonas","b_04",9005.23560209424,10157.0680628272
"Chlamydomonas","b_05",34036.9393139842,32519.6850393701
"Chlamydomonas","b_06",10235.6020942408,10209.4240837696
"Chlamydomonas","b_07",37365.5913978495,37941.1764705882
"Chlamydomonas","b_08",42842.3772609819,34484.5360824742
"Chlamydomonas","b_09",140496.083550914,142473.958333333
"Chlamydomonas","b_10",13134.7150259067,15880.829015544
"Chlamydomonas","b_11",15210.5263157895,14778.0678851175
"Chlamydomonas","b_12",13324.6073298429,12467.1916010499
"Chlamydomonas","b_13",40215.0537634409,39946.3806970509
"Chlamydomonas","b_14",7527.17391304348,8049.45054945055
"Chlamydomonas","b_15",10890.0523560209,10078.5340314136
"Chlamydomonas","b_16",13983.9572192513,13181.8181818182
"Chlamydomonas","b_17",12362.2047244094,11811.0236220472
"Chlamydomonas","b_18",612624.67191601,583438.320209974
"Chlamydomonas","b_19",23298.4293193717,23524.8041775457
"Chlamydomonas","b_20",15582.0105820106,16464.3799472296
"Chlamydomonas","b_21",15492.2279792746,16314.4329896907
"Chlamydomonas","b_22",538845.144356955,523149.606299213
"Chlamydomonas","b_23",653760,610789.473684211
"Chlamydomonas","b_24",32958.1151832461,34815.7894736842
"Chlamydomonas","b_25",14772.1179624665,13015.873015873
"Chlamydomonas","b_26",10080.8625336927,10080
"Chlamydomonas","b_27",593963.254593176,545065.963060686
"Chlamydomonas","b_28",20826.6666666667,21492.1465968586
"Chlamydomonas","b_29",26579.634464752,26901.0416666667
"Chlamydomonas","b_30",66925.0645994832,42868.2170542636
"ChlamydomonasClumps","b_01",3543.30708661417,3664.92146596859
"ChlamydomonasClumps","b_02",7682.29166666667,8645.83333333333
"ChlamydomonasClumps","b_03",4528.79581151832,4543.08093994778
"ChlamydomonasClumps","b_04",6151.83246073299,5523.56020942408
"ChlamydomonasClumps","b_05",2242.74406332454,1916.01049868766
"ChlamydomonasClumps","b_06",5052.35602094241,3272.25130890052
"ChlamydomonasClumps","b_07",4086.02150537634,3582.88770053476
"ChlamydomonasClumps","b_08",878.552971576227,1005.15463917526
"ChlamydomonasClumps","b_09",8590.07832898172,9505.20833333333
"ChlamydomonasClumps","b_10",13186.5284974093,10673.5751295337
"ChlamydomonasClumps","b_11",4578.94736842105,3420.36553524804
"ChlamydomonasClumps","b_12",5157.06806282723,3753.28083989501
"ChlamydomonasClumps","b_13",4274.1935483871,3458.44504021448
"ChlamydomonasClumps","b_14",1440.21739130435,604.395604395604
"ChlamydomonasClumps","b_15",5497.38219895288,4659.68586387435
"ChlamydomonasClumps","b_16",4117.64705882353,3716.57754010695
"ChlamydomonasClumps","b_17",5170.60367454068,4225.7217847769
"ChlamydomonasClumps","b_18",26.246719160105,NA
"ChlamydomonasClumps","b_19",1230.3664921466,1227.15404699739
"ChlamydomonasClumps","b_20",978.835978835979,870.712401055409
"ChlamydomonasClumps","b_21",12150.2590673575,10592.7835051546
"ChlamydomonasClumps","b_22",52.49343832021,NA
"ChlamydomonasClumps","b_23",80,78.9473684210526
"ChlamydomonasClumps","b_24",2722.51308900524,2657.89473684211
"ChlamydomonasClumps","b_25",1823.0563002681,1322.75132275132
"ChlamydomonasClumps","b_26",5983.82749326145,5306.66666666667
"ChlamydomonasClumps","b_28",960,732.984293193717
"ChlamydomonasClumps","b_29",1723.23759791123,1770.83333333333
"ChlamydomonasClumps","b_30",310.077519379845,801.033591731266
"Cosmarium","b_01",157.48031496063,209.424083769634
"Cosmarium","b_03",104.712041884817,104.43864229765
"Cosmarium","b_05",263.852242744063,104.98687664042
