"","bottle","filtered","unfiltered"
"1","b_01",9825918.21009674,12071571.1434274
"2","b_02",4912120.7805156,4896172.0577329
"3","b_03",9629037.78107522,10518683.4517998
"4","b_04",11148359.4864479,11161868.3482181
"5","b_05",32437269.8467072,31497978.0144672
"6","b_06",32269044.2225392,32677757.5205105
"7","b_07",32588658.5574782,30608328.0973325
"8","b_08",78319801.7263482,74963638.9562242
"9","b_09",38541732.0140295,36608382.6176395
"10","b_10",27515253.4641045,27007290.9546594
"11","b_11",35871669.665039,40384363.1490405
"12","b_12",44418843.6830835,44805509.6104489
"13","b_13",4372199.22934209,5114521.23563136
"14","b_14",17602909.7133077,19045353.5411088
"15","b_15",7135440.43815609,9159702.21626401
"16","b_16",5757177.92111422,7861499.00256483
"17","b_17",31769186.8758916,35653313.5791213
"18","b_18",59975200.9577561,65304268.3275241
"19","b_19",29958034.7711896,33686655.6461267
"20","b_20",56174790.0119993,58190989.1425152
"21","b_21",4364305.27036277,5170901.21909536
"22","b_22",37825231.0852448,42657007.5865609
"23","b_23",38272228.884701,48746394.8142437
"24","b_24",3258228.28133022,6094352.00776278
"25","b_25",45456698.5304608,73801669.3729881
"26","b_26",26630155.7419134,57437712.7824203
"27","b_27",23660067.324699,45897130.2052286
"28","b_28",6183140.77877621,15166400.1218491
"29","b_29",6423863.73363006,16174017.0258805
"30","b_30",2606278.33376101,3425964.33015346
