weekday,date,day,week,constant,declining
Mon,20-Sep-21,1,1,30,30
Wed,22-Sep-21,3,1,30,30
Fri,24-Sep-21,5,1,30,30
Mon,27-Sep-21,8,2,30,30
Wed,29-Sep-21,10,2,30,30
Fri,01-Oct-21,12,2,30,30
Mon,04-Oct-21,15,3,30,30
Wed,06-Oct-21,17,3,30,30
Fri,08-Oct-21,19,3,30,30
Mon,11-Oct-21,22,4,30,30
Wed,13-Oct-21,24,4,30,30
Fri,15-Oct-21,26,4,30,30
Mon,18-Oct-21,29,5,30,30
Wed,20-Oct-21,31,5,30,30
Fri,22-Oct-21,33,5,30,30
Mon,25-Oct-21,36,6,30,30
Wed,27-Oct-21,38,6,30,30
Fri,29-Oct-21,40,6,30,30
Mon,01-Nov-21,43,7,30,30
Wed,03-Nov-21,45,7,30,30
Fri,05-Nov-21,47,7,30,30
Mon,08-Nov-21,50,8,30,30
Wed,10-Nov-21,52,8,30,30
Fri,12-Nov-21,54,8,30,30
Mon,15-Nov-21,57,9,30,30
Wed,17-Nov-21,59,9,30,30
Fri,19-Nov-21,61,9,30,30
Mon,22-Nov-21,64,10,30,30
Wed,24-Nov-21,66,10,30,30
Fri,26-Nov-21,68,10,30,30
Mon,29-Nov-21,71,11,30,30
Wed,01-Dec-21,73,11,30,30
Fri,03-Dec-21,75,11,30,30
Mon,06-Dec-21,78,12,30,30
Wed,08-Dec-21,80,12,30,30
Fri,10-Dec-21,82,12,30,30
Mon,13-Dec-21,85,13,30,30
Wed,15-Dec-21,87,13,30,30
Fri,17-Dec-21,89,13,30,30
Mon,20-Dec-21,92,14,30,30
Wed,22-Dec-21,94,14,30,28
Fri,24-Dec-21,96,14,30,28
Mon,27-Dec-21,99,15,30,28
Wed,29-Dec-21,101,15,30,26
Fri,31-Dec-21,103,15,30,26
Mon,03-Jan-22,106,16,30,26
Wed,05-Jan-22,108,16,30,24
Fri,07-Jan-22,110,16,30,24
Mon,10-Jan-22,113,17,30,24
Wed,12-Jan-22,115,17,30,22
Fri,14-Jan-22,117,17,30,22
Mon,17-Jan-22,120,18,30,22
Wed,19-Jan-22,122,18,30,20
Fri,21-Jan-22,124,18,30,20
Mon,24-Jan-22,127,19,30,20
Wed,26-Jan-22,129,19,30,18
Fri,28-Jan-22,131,19,30,18
Mon,31-Jan-22,134,20,30,18
Wed,02-Feb-22,136,20,30,16
Fri,04-Feb-22,138,20,30,16
Mon,07-Feb-22,141,21,30,16
Wed,09-Feb-22,143,21,30,14
Fri,11-Feb-22,145,21,30,14
Mon,14-Feb-22,148,22,30,14
Wed,16-Feb-22,150,22,30,12
Fri,18-Feb-22,152,22,30,12
Mon,21-Feb-22,155,23,30,12
Wed,23-Feb-22,157,23,30,10
Fri,25-Feb-22,159,23,30,10
Mon,28-Feb-22,162,24,30,10
Wed,02-Mar-22,164,24,30,8
Fri,04-Mar-22,166,24,30,8
Mon,07-Mar-22,169,25,30,8
Wed,09-Mar-22,171,25,30,6
Fri,11-Mar-22,173,25,30,6
Mon,14-Mar-22,176,26,30,6
Wed,16-Mar-22,178,26,30,4
Fri,18-Mar-22,180,26,30,4
Mon,21-Mar-22,183,27,30,4
Wed,23-Mar-22,185,27,30,2
Fri,25-Mar-22,187,27,30,2
Mon,28-Mar-22,190,28,30,2
Wed,30-Mar-22,192,28,30,1
Fri,01-Apr-22,194,28,30,1
Mon,04-Apr-22,197,29,30,1
Wed,06-Apr-22,199,29,30,1
Fri,08-Apr-22,201,29,30,1
Mon,11-Apr-22,204,30,30,1
Wed,13-Apr-22,206,30,30,1
Fri,15-Apr-22,208,30,30,1
Mon,18-Apr-22,211,31,30,1
Wed,20-Apr-22,213,31,30,1
Fri,22-Apr-22,215,31,30,1
Mon,25-Apr-22,218,32,30,1
Wed,27-Apr-22,220,32,30,1
Fri,29-Apr-22,222,32,30,1
Mon,02-May-22,225,33,30,1
Wed,04-May-22,227,33,30,1
Fri,06-May-22,229,33,30,1
Mon,09-May-22,232,34,30,1
Wed,11-May-22,234,34,30,1
Fri,13-May-22,236,34,30,1
Mon,16-May-22,239,35,30,1
Wed,18-May-22,241,35,30,1
Fri,20-May-22,243,35,30,1
Mon,23-May-22,246,36,30,1
Wed,25-May-22,248,36,30,1
Fri,27-May-22,250,36,30,1
Mon,30-May-22,253,37,30,1
Wed,01-Jun-22,255,37,30,1
Fri,03-Jun-22,257,37,30,1
Mon,06-Jun-22,260,38,30,1
Wed,08-Jun-22,262,38,30,1
Fri,10-Jun-22,264,38,30,1
Mon,13-Jun-22,267,39,30,1
Wed,15-Jun-22,269,39,30,1
Fri,17-Jun-22,271,39,30,1
Mon,20-Jun-22,274,40,30,1
Wed,22-Jun-22,276,40,30,1
Fri,24-Jun-22,278,40,30,1
Mon,27-Jun-22,281,41,30,1
Wed,29-Jun-22,283,41,30,1
Mon,04-Jul-22,288,42,30,1
