timestamp,day,type,bottle,light_treatment,richness,composition,incubator,concentration,cv,n
20210920,0,IC,b_01,constant,10,c_08,A,7.08,NA,1
20210920,0,IC,b_02,constant,7,c_02,A,8.534385970998404,NA,1
20210920,0,IC,b_03,constant,14,c_11,A,7.058771941996808,NA,1
20210920,0,IC,b_04,constant,7,c_05,A,7.933157912995213,NA,1
20210920,0,IC,b_05,decreasing,14,c_13,B,7.73,NA,1
20210920,0,IC,b_06,decreasing,14,c_11,B,7.510911560278021,NA,1
20210920,0,IC,b_07,decreasing,10,c_06,B,7.2018231205560435,NA,1
20210920,0,IC,b_08,decreasing,7,c_01,B,9.262734680834065,NA,1
20210920,0,IC,b_09,decreasing,7,c_02,C,8.713646241112087,NA,1
20210920,0,IC,b_10,decreasing,10,c_07,C,8.634557801390109,NA,1
20210920,0,IC,b_11,decreasing,10,c_08,C,7.165469361668132,NA,1
20210920,0,IC,b_12,decreasing,14,c_14,C,7.586380921946154,NA,1
20210920,0,IC,b_13,constant,10,c_06,D,7.83263165198085,NA,1
20210920,0,IC,b_14,constant,7,c_03,D,7.257017622979254,NA,1
20210920,0,IC,b_15,constant,14,c_14,D,7.411403593977659,NA,1
20210920,0,IC,b_16,constant,14,c_15,D,7.2057895649760635,NA,1
20210920,0,IC,b_17,decreasing,7,c_05,E,6.850938723336263,NA,1
20210920,0,IC,b_18,decreasing,7,c_04,E,7.931850283614286,NA,1
20210920,0,IC,b_19,decreasing,14,c_12,E,7.602761843892307,NA,1
20210920,0,IC,b_20,decreasing,10,c_09,E,8.19367340417033,NA,1
20210920,0,IC,b_21,constant,10,c_07,F,8.697719419968085,NA,1
20210920,0,IC,b_22,constant,10,c_10,F,8.142105390966488,NA,1
20210920,0,IC,b_23,constant,7,c_04,F,7.136491361964893,NA,1
20210920,0,IC,b_24,constant,14,c_13,F,7.950877332963297,NA,1
20210920,0,IC,b_25,decreasing,7,c_03,G,7.978231205560438,NA,1
20210920,0,IC,b_26,decreasing,14,c_15,G,7.94914276583846,NA,1
20210920,0,IC,b_27,decreasing,10,c_10,G,9.05005432611648,NA,1
20210920,0,IC,b_28,constant,10,c_09,H,7.458421216956914,NA,1
20210920,0,IC,b_29,constant,14,c_12,H,7.622807187955318,NA,1
20210920,0,IC,b_30,constant,7,c_01,H,9.527193158953722,NA,1
20210920,0,TC,b_01,constant,10,c_08,A,54.37,NA,1
20210920,0,TC,b_02,constant,7,c_02,A,53.361729341566644,NA,1
20210920,0,TC,b_03,constant,14,c_11,A,54.883458683133284,NA,1
20210920,0,TC,b_04,constant,7,c_05,A,50.71518802469993,NA,1
20210920,0,TC,b_05,decreasing,14,c_13,B,58.18,NA,1
20210920,0,TC,b_06,decreasing,14,c_11,B,54.96180634337301,NA,1
20210920,0,TC,b_07,decreasing,10,c_06,B,54.76361268674602,NA,1
20210920,0,TC,b_08,decreasing,7,c_01,B,52.335419030119034,NA,1
20210920,0,TC,b_09,decreasing,7,c_02,C,52.66722537349205,NA,1
20210920,0,TC,b_10,decreasing,10,c_07,C,49.19903171686506,NA,1
20210920,0,TC,b_11,decreasing,10,c_08,C,55.320838060238074,NA,1
20210920,0,TC,b_12,decreasing,14,c_14,C,54.62264440361109,NA,1
20210920,0,TC,b_13,constant,10,c_06,D,54.210752098799695,NA,1
20210920,0,TC,b_14,constant,7,c_03,D,53.03248144036633,NA,1
20210920,0,TC,b_15,constant,14,c_14,D,51.87421078193297,NA,1
20210920,0,TC,b_16,constant,14,c_15,D,51.43594012349961,NA,1
20210920,0,TC,b_17,decreasing,7,c_05,E,52.081676120476146,NA,1
20210920,0,TC,b_18,decreasing,7,c_04,E,61.20348246384916,NA,1
20210920,0,TC,b_19,decreasing,14,c_12,E,59.495288807222174,NA,1
20210920,0,TC,b_20,decreasing,10,c_09,E,52.94709515059519,NA,1
20210920,0,TC,b_21,constant,10,c_07,F,49.12458683133282,NA,1
20210920,0,TC,b_22,constant,10,c_10,F,46.066316172899455,NA,1
20210920,0,TC,b_23,constant,7,c_04,F,57.698045514466095,NA,1
20210920,0,TC,b_24,constant,14,c_13,F,54.279774856032745,NA,1
20210920,0,TC,b_25,decreasing,7,c_03,G,44.30612686746026,NA,1
20210920,0,TC,b_26,decreasing,14,c_15,G,52.42793321083326,NA,1
20210920,0,TC,b_27,decreasing,10,c_10,G,43.78973955420628,NA,1
20210920,0,TC,b_28,constant,10,c_09,H,55.3166922222993,NA,1
20210920,0,TC,b_29,constant,14,c_12,H,56.66842156386594,NA,1
20210920,0,TC,b_30,constant,7,c_01,H,51.80015090543258,NA,1
20210920,0,TN,b_01,constant,10,c_08,A,2.05,NA,1
20210920,0,TN,b_02,constant,7,c_02,A,2.6147901200305284,NA,1
20210920,0,TN,b_03,constant,14,c_11,A,1.959580240061056,NA,1
20210920,0,TN,b_04,constant,7,c_05,A,2.094370360091584,NA,1
20210920,0,TN,b_05,decreasing,14,c_13,B,2.39,NA,1
20210920,0,TN,b_06,decreasing,14,c_11,B,2.0576907405927938,NA,1
20210920,0,TN,b_07,decreasing,10,c_06,B,2.0153814811855875,NA,1
20210920,0,TN,b_08,decreasing,7,c_01,B,2.103072221778381,NA,1
20210920,0,TN,b_09,decreasing,7,c_02,C,2.4307629623711753,NA,1
20210920,0,TN,b_10,decreasing,10,c_07,C,1.8584537029639692,NA,1
20210920,0,TN,b_11,decreasing,10,c_08,C,2.236144443556763,NA,1
20210920,0,TN,b_12,decreasing,14,c_14,C,2.1038351841495566,NA,1
20210920,0,TN,b_13,constant,10,c_06,D,2.117481440366336,NA,1
20210920,0,TN,b_14,constant,7,c_03,D,1.892271560396864,NA,1
