timestamp,day,bottle,sensor,temperature_actual,percent_o2,measurement,light_treatment,richness,composition,incubator
20210920,0,b_01,4,18,27.163,o2meter,constant,10,c_08,A
20210920,0,b_01,9,18,24.268,o2meter,constant,10,c_08,A
20210922,2,b_01,4,18,24.598,o2meter,constant,10,c_08,A
20210922,2,b_01,9,18,22.949,o2meter,constant,10,c_08,A
20210924,4,b_01,4,18,24.05,o2meter,constant,10,c_08,A
20210924,4,b_01,9,18,22.798,o2meter,constant,10,c_08,A
20210927,7,b_01,4,18,23.93,o2meter,constant,10,c_08,A
20210927,7,b_01,9,18,22.222,o2meter,constant,10,c_08,A
20210929,9,b_01,4,18,24.042,o2meter,constant,10,c_08,A
20210929,9,b_01,9,18,22.641,o2meter,constant,10,c_08,A
20211001,11,b_01,4,18,24.634,o2meter,constant,10,c_08,A
20211001,11,b_01,9,18,22.974,o2meter,constant,10,c_08,A
20211004,14,b_01,4,18,26.898,o2meter,constant,10,c_08,A
20211004,14,b_01,9,18,22.763,o2meter,constant,10,c_08,A
20211006,16,b_01,4,18,26.215,o2meter,constant,10,c_08,A
20211006,16,b_01,9,18,24.649,o2meter,constant,10,c_08,A
20211008,18,b_01,4,18,25.372,o2meter,constant,10,c_08,A
20211008,18,b_01,9,18,25.06,o2meter,constant,10,c_08,A
20211011,21,b_01,4,18,23.331,o2meter,constant,10,c_08,A
20211011,21,b_01,9,18,22.596,o2meter,constant,10,c_08,A
20211013,23,b_01,4,18,23.569,o2meter,constant,10,c_08,A
20211013,23,b_01,9,18,22.048,o2meter,constant,10,c_08,A
20211015,25,b_01,4,18,25.288,o2meter,constant,10,c_08,A
20211015,25,b_01,9,18,24.103,o2meter,constant,10,c_08,A
20211018,28,b_01,4,18,24.477,o2meter,constant,10,c_08,A
20211018,28,b_01,9,18,22.928,o2meter,constant,10,c_08,A
20211020,30,b_01,4,18,25.801,o2meter,constant,10,c_08,A
20211020,30,b_01,9,18,25.341,o2meter,constant,10,c_08,A
20211022,32,b_01,4,18,24.33,o2meter,constant,10,c_08,A
